type,subid,chosetarget,choselure,choseunique,searchtype,targetcolor,targetshape,targetsaturation,targetword,rtsearch,adjective_used
brightdark,133,TRUE,FALSE,FALSE,sedivy,red,3,bright,flib,32284,TRUE
brightdark,133,TRUE,FALSE,TRUE,uniquetarget,blue,14,dark,wug,7228,TRUE
brightdark,133,TRUE,FALSE,FALSE,sedivy,blue,13,bright,koba,2933,FALSE
brightdark,133,FALSE,FALSE,FALSE,sedivy,blue,11,dark,boti,2870,TRUE
brightdark,133,FALSE,TRUE,TRUE,sedivy,green,1,dark,sprock,3253,FALSE
brightdark,133,TRUE,FALSE,TRUE,uniquetarget,blue,15,bright,quen,2535,FALSE
brightdark,133,FALSE,TRUE,TRUE,sedivy,purple,4,bright,zorp,2638,FALSE
brightdark,133,FALSE,FALSE,FALSE,uniquetarget,blue,16,bright,toma,4417,FALSE
brightdark,133,FALSE,FALSE,FALSE,uniquetarget,red,19,dark,dax,5076,TRUE
brightdark,133,FALSE,FALSE,FALSE,uniquetarget,purple,5,bright,gade,4801,TRUE
brightdark,133,FALSE,TRUE,TRUE,sedivy,green,24,dark,blicket,3054,TRUE
brightdark,133,FALSE,FALSE,FALSE,uniquetarget,purple,9,bright,lomet,3839,FALSE
brightdark,84,FALSE,FALSE,FALSE,uniquetarget,purple,5,bright,wug,25595,TRUE
brightdark,84,TRUE,FALSE,FALSE,sedivy,blue,17,bright,koba,15144,TRUE
brightdark,84,TRUE,FALSE,TRUE,uniquetarget,purple,8,bright,toma,6006,FALSE
brightdark,84,TRUE,FALSE,TRUE,uniquetarget,blue,6,dark,lomet,3665,TRUE
brightdark,84,FALSE,TRUE,TRUE,sedivy,purple,22,bright,blicket,3252,TRUE
brightdark,84,TRUE,FALSE,TRUE,uniquetarget,purple,15,dark,boti,2676,FALSE
brightdark,84,FALSE,TRUE,TRUE,sedivy,blue,20,dark,dax,3214,FALSE
brightdark,84,TRUE,FALSE,FALSE,sedivy,blue,23,bright,flib,3214,TRUE
brightdark,84,FALSE,TRUE,TRUE,sedivy,green,14,bright,gade,3677,FALSE
brightdark,84,FALSE,TRUE,TRUE,sedivy,red,4,bright,quen,2805,FALSE
brightdark,84,TRUE,FALSE,TRUE,uniquetarget,red,18,dark,zorp,5306,TRUE
brightdark,84,TRUE,FALSE,TRUE,uniquetarget,purple,21,bright,sprock,3975,FALSE
brightdark,156,FALSE,FALSE,FALSE,sedivy,green,9,dark,blicket,5178,FALSE
brightdark,156,TRUE,FALSE,TRUE,uniquetarget,red,24,bright,quen,13264,TRUE
brightdark,156,TRUE,FALSE,TRUE,uniquetarget,red,2,bright,koba,3948,FALSE
brightdark,156,TRUE,FALSE,TRUE,uniquetarget,blue,6,bright,toma,4788,TRUE
brightdark,156,TRUE,FALSE,FALSE,sedivy,green,13,bright,sprock,3989,FALSE
brightdark,156,TRUE,FALSE,FALSE,sedivy,purple,20,bright,dax,4137,TRUE
brightdark,156,TRUE,FALSE,FALSE,sedivy,blue,12,dark,boti,3865,TRUE
brightdark,156,TRUE,FALSE,TRUE,uniquetarget,blue,16,dark,gade,4764,TRUE
brightdark,156,TRUE,FALSE,TRUE,uniquetarget,blue,7,bright,zorp,3389,FALSE
brightdark,156,FALSE,TRUE,TRUE,sedivy,green,11,dark,lomet,3768,FALSE
brightdark,156,TRUE,FALSE,TRUE,uniquetarget,purple,17,bright,wug,3057,FALSE
brightdark,156,TRUE,FALSE,FALSE,sedivy,red,23,bright,flib,3828,TRUE
brightdark,132,FALSE,FALSE,FALSE,uniquetarget,purple,6,bright,gade,4758,FALSE
brightdark,132,FALSE,TRUE,TRUE,sedivy,blue,1,bright,quen,4445,TRUE
brightdark,132,FALSE,TRUE,TRUE,sedivy,red,4,dark,toma,3635,TRUE
brightdark,132,TRUE,FALSE,TRUE,uniquetarget,green,19,bright,dax,3121,TRUE
brightdark,132,TRUE,FALSE,FALSE,sedivy,red,11,bright,flib,4029,TRUE
brightdark,132,FALSE,TRUE,TRUE,sedivy,purple,3,dark,zorp,2950,FALSE
brightdark,132,FALSE,TRUE,TRUE,sedivy,blue,14,bright,sprock,3598,FALSE
brightdark,132,TRUE,FALSE,TRUE,uniquetarget,green,2,bright,boti,2824,FALSE
brightdark,132,TRUE,FALSE,TRUE,uniquetarget,purple,12,bright,koba,2669,FALSE
brightdark,132,TRUE,FALSE,TRUE,uniquetarget,blue,9,dark,blicket,9870,TRUE
brightdark,132,TRUE,FALSE,TRUE,uniquetarget,blue,18,dark,wug,3215,TRUE
brightdark,132,TRUE,FALSE,FALSE,sedivy,red,22,dark,lomet,4743,FALSE
brightdark,142,TRUE,FALSE,FALSE,sedivy,red,22,bright,toma,6527,TRUE
brightdark,142,TRUE,FALSE,FALSE,sedivy,purple,24,bright,blicket,4824,TRUE
brightdark,142,FALSE,TRUE,TRUE,sedivy,purple,23,dark,quen,5141,TRUE
brightdark,142,FALSE,FALSE,FALSE,sedivy,red,16,dark,boti,3897,FALSE
brightdark,142,FALSE,TRUE,TRUE,sedivy,red,18,dark,dax,3706,FALSE
brightdark,142,TRUE,FALSE,TRUE,uniquetarget,green,19,dark,gade,4579,FALSE
brightdark,142,TRUE,FALSE,TRUE,uniquetarget,red,20,bright,zorp,3544,TRUE
brightdark,142,TRUE,FALSE,TRUE,uniquetarget,purple,9,dark,flib,3491,TRUE
brightdark,142,FALSE,TRUE,TRUE,sedivy,purple,3,dark,koba,3296,FALSE
brightdark,142,TRUE,FALSE,TRUE,uniquetarget,red,1,bright,wug,2949,FALSE
brightdark,142,TRUE,FALSE,TRUE,uniquetarget,purple,15,dark,sprock,5713,FALSE
brightdark,142,TRUE,FALSE,TRUE,uniquetarget,blue,11,bright,lomet,3632,TRUE
brightdark,57,TRUE,FALSE,TRUE,uniquetarget,blue,3,bright,zorp,23698,FALSE
brightdark,57,TRUE,FALSE,TRUE,uniquetarget,blue,12,bright,gade,12426,TRUE
brightdark,57,FALSE,FALSE,FALSE,sedivy,purple,23,bright,wug,20773,FALSE
brightdark,57,FALSE,TRUE,TRUE,sedivy,purple,22,bright,quen,4699,FALSE
brightdark,57,TRUE,FALSE,TRUE,uniquetarget,green,1,bright,lomet,3228,FALSE
brightdark,57,TRUE,FALSE,TRUE,uniquetarget,green,9,dark,boti,2747,FALSE
brightdark,57,FALSE,TRUE,TRUE,sedivy,purple,6,dark,dax,2669,FALSE
brightdark,57,TRUE,FALSE,TRUE,uniquetarget,blue,16,dark,flib,3750,TRUE
brightdark,57,FALSE,TRUE,TRUE,sedivy,purple,14,dark,koba,3539,TRUE
brightdark,57,TRUE,FALSE,TRUE,uniquetarget,red,19,bright,toma,2788,TRUE
brightdark,57,TRUE,FALSE,FALSE,sedivy,red,8,bright,blicket,7686,TRUE
brightdark,57,FALSE,TRUE,TRUE,sedivy,red,undefined,dark,undefined,12924,TRUE
brightdark,117,FALSE,TRUE,TRUE,sedivy,purple,2,dark,gade,7835,TRUE
brightdark,117,TRUE,FALSE,TRUE,uniquetarget,blue,22,bright,koba,7098,FALSE
brightdark,117,FALSE,TRUE,TRUE,sedivy,red,18,bright,blicket,3141,FALSE
brightdark,117,TRUE,FALSE,TRUE,uniquetarget,blue,10,dark,flib,3451,TRUE
brightdark,117,FALSE,TRUE,TRUE,sedivy,green,16,bright,sprock,3843,FALSE
brightdark,117,TRUE,FALSE,TRUE,uniquetarget,red,7,bright,lomet,3159,FALSE
brightdark,117,TRUE,FALSE,TRUE,uniquetarget,red,24,dark,zorp,3171,TRUE
brightdark,117,FALSE,TRUE,TRUE,sedivy,red,20,bright,dax,2655,FALSE
brightdark,117,TRUE,FALSE,TRUE,uniquetarget,red,6,dark,wug,3011,TRUE
brightdark,117,FALSE,TRUE,TRUE,sedivy,green,23,dark,toma,3195,TRUE
brightdark,117,TRUE,FALSE,TRUE,uniquetarget,green,17,dark,boti,5193,FALSE
brightdark,117,FALSE,TRUE,TRUE,sedivy,purple,8,dark,quen,3882,TRUE
brightdark,100,FALSE,TRUE,TRUE,sedivy,purple,7,dark,sprock,16569,TRUE
brightdark,100,TRUE,FALSE,TRUE,uniquetarget,green,4,bright,gade,4781,FALSE
brightdark,100,FALSE,FALSE,FALSE,sedivy,green,12,dark,flib,4490,TRUE
brightdark,100,TRUE,FALSE,TRUE,uniquetarget,red,18,dark,zorp,2895,FALSE
brightdark,100,TRUE,FALSE,TRUE,uniquetarget,green,1,dark,boti,3322,TRUE
brightdark,100,TRUE,FALSE,TRUE,uniquetarget,red,19,bright,koba,3069,TRUE
brightdark,100,FALSE,TRUE,TRUE,sedivy,blue,3,dark,wug,3310,FALSE
brightdark,100,TRUE,FALSE,TRUE,uniquetarget,green,15,dark,quen,3409,FALSE
brightdark,100,FALSE,TRUE,TRUE,sedivy,blue,17,bright,lomet,4898,FALSE
brightdark,100,FALSE,TRUE,TRUE,sedivy,green,16,dark,dax,2900,TRUE
brightdark,100,TRUE,FALSE,TRUE,uniquetarget,purple,13,bright,toma,3411,TRUE
brightdark,100,FALSE,TRUE,TRUE,sedivy,green,23,bright,blicket,5845,FALSE
brightdark,9,TRUE,FALSE,TRUE,uniquetarget,red,20,dark,blicket,15279,TRUE
brightdark,9,FALSE,TRUE,TRUE,sedivy,purple,16,dark,boti,9357,TRUE
brightdark,9,TRUE,FALSE,TRUE,uniquetarget,blue,14,dark,flib,6769,FALSE
brightdark,9,TRUE,FALSE,FALSE,sedivy,green,24,bright,zorp,4375,FALSE
brightdark,9,TRUE,FALSE,FALSE,sedivy,red,8,dark,sprock,7265,TRUE
brightdark,9,FALSE,TRUE,TRUE,sedivy,green,10,bright,dax,4298,FALSE
brightdark,9,TRUE,FALSE,TRUE,uniquetarget,blue,22,dark,koba,4303,TRUE
brightdark,9,TRUE,FALSE,TRUE,uniquetarget,blue,7,dark,wug,4626,FALSE
brightdark,9,FALSE,FALSE,FALSE,uniquetarget,blue,11,bright,lomet,3618,FALSE
brightdark,9,TRUE,FALSE,FALSE,sedivy,blue,15,bright,quen,5185,TRUE
brightdark,9,TRUE,FALSE,FALSE,sedivy,purple,19,bright,gade,6892,FALSE
brightdark,9,TRUE,FALSE,TRUE,uniquetarget,red,1,dark,toma,4102,TRUE
brightdark,155,FALSE,TRUE,TRUE,sedivy,purple,9,bright,koba,15382,TRUE
brightdark,155,TRUE,FALSE,TRUE,uniquetarget,purple,7,bright,wug,6542,FALSE
brightdark,155,TRUE,FALSE,TRUE,uniquetarget,purple,12,dark,boti,5573,FALSE
brightdark,155,TRUE,FALSE,TRUE,uniquetarget,blue,20,dark,blicket,5192,TRUE
brightdark,155,TRUE,FALSE,FALSE,sedivy,green,17,dark,gade,6757,TRUE
brightdark,155,FALSE,TRUE,TRUE,sedivy,red,3,dark,dax,5551,FALSE
brightdark,155,TRUE,FALSE,FALSE,sedivy,green,1,bright,flib,4659,TRUE
brightdark,155,TRUE,FALSE,TRUE,uniquetarget,purple,8,dark,quen,5632,TRUE
brightdark,155,FALSE,TRUE,TRUE,sedivy,red,23,dark,toma,5174,FALSE
brightdark,155,FALSE,TRUE,TRUE,sedivy,purple,13,dark,zorp,6165,FALSE
brightdark,155,TRUE,FALSE,TRUE,uniquetarget,purple,5,dark,lomet,4157,FALSE
brightdark,155,TRUE,FALSE,TRUE,uniquetarget,blue,19,bright,sprock,4981,TRUE
brightdark,138,TRUE,FALSE,FALSE,sedivy,purple,9,dark,blicket,6219,TRUE
